targets, factors
Bfa1highA_Bud, (! Lte1A_Bud & ! Cdc5A_Bud & Bfa1lowA_Bud & Bfa1highL_Bud) | (! Lte1A_Bud & ! Cdc14lowA_Bud & CDKlowA_Bud & Bfa1lowA_Bud & Bfa1highL_Bud) | (Bfa1OE & Bfa1highL_Bud) | (CDKOE & Bfa1highL_Bud) 
Bfa1lowA_Bud, (Bfa1lowL_Bud & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) | (Bfa1lowL_Bud & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) 
Tem1lowA_Bud, (! Bfa1highA_Bud & Tem1lowL_Bud & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Bub2highA_Bud & Tem1lowL_Bud & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Amn1A_Bud & Tem1lowL_Bud & ! Bfa1OE & ! Bub2OE & ! Amn1OE) 
Tem1highA_Bud, (! Bfa1lowA_Bud & Tem1lowA_Bud & Tem1highL_Bud) | (! Bub2lowA_Bud & Tem1lowA_Bud & Tem1highL_Bud) | (! Amn1A_Bud & Tem1lowA_Bud & Tem1highL_Bud) | (Tem1OE & Tem1highL_Bud) 
Cdc15lowA_Bud, Cdc15lowL_Bud 
Cdc15highA_Bud, (Cdc15lowA_Bud & Cdc15highL_Bud) | (Cdc15OE & Cdc15highL_Bud) 
Bub2lowA_Bud, Bub2lowL_Bud 
Bub2highA_Bud, (Bub2lowA_Bud & Bub2highL_Bud) | (Bub2OE & Bub2highL_Bud) 
Rsa1A_Bud, Rsa1L_Bud 
Hit1A_Bud, Hit1L_Bud 
APCCdc20A_Bud, APCCdc20L_Bud 
Pds1A_Bud, (! APCCdc20A_Bud & Pds1L_Bud) 
Esp1A_Bud, (! Pds1A_Bud & Esp1L_Bud) 
Slk19A_Bud, (Esp1A_Bud & Slk19L_Bud) | (Esp1OE & Slk19L_Bud) 
Zds1A_Bud, (Esp1A_Bud & Slk19A_Bud & Zds1L_Bud) | (Esp1OE & Zds1L_Bud) | (Slk19OE & Zds1L_Bud) 
Cdc5A_Bud, (CDKlowA_Bud & Cdc5L_Bud) | (CDKOE & Cdc5L_Bud) 
PP2ACdc55A_Bud, PP2ACdc55L_Bud 
CDKlowA_Bud, CDKlowL_Bud 
CDKhighA_Bud, CDKhighL_Bud 
Fob1A_Bud, (! Spo12A_Bud & Fob1L_Bud) 
Spo12A_Bud, Spo12L_Bud 
SACA_Bud, SACL_Bud 
Cdc14lowA_Bud, Cdc14lowL_Bud 
Cdc14highA_Bud, Cdc14highL_Bud 
Net1A_Bud, Net1L_Bud 
Lte1A_Nucleus, (Cla4A_Nucleus & Lte1L_Nucleus) | (Cla4OE & Lte1L_Nucleus) 
Mob1A_Nucleus, Mob1L_Nucleus 
Elm1A_Nucleus, Elm1L_Nucleus 
Dbf2A_Nucleus, (Dbf2OE & Dbf2L_Nucleus) | (Dbf2A_Cytoplasm & Dbf2L_Nucleus) | (Dbf2A_Bud & Dbf2L_Nucleus) 
Kin4A_Nucleus, (! Lte1A_Nucleus & Elm1A_Nucleus & Kin4L_Nucleus) | (Elm1OE & Kin4L_Nucleus) 
Cla4A_Nucleus, Cla4L_Nucleus 
Nud1A_Nucleus, Nud1L_Nucleus 
Spc72A_Nucleus, Spc72L_Nucleus 
PP2ARts1A_Nucleus, PP2ARts1L_Nucleus 
Amn1A_Nucleus, Amn1L_Nucleus 
Bmh1A_Nucleus, Bmh1L_Nucleus 
PolarityA_Nucleus, PolarityL_Nucleus 
Bfa1highA_Nucleus, (! Lte1A_Nucleus & ! Cdc5A_Nucleus & Bfa1lowA_Nucleus & Bfa1highL_Nucleus) | (! Lte1A_Nucleus & ! Cdc14lowA_Nucleus & CDKlowA_Nucleus & Bfa1lowA_Nucleus & Bfa1highL_Nucleus) | (Bfa1OE & Bfa1highL_Nucleus) | (CDKOE & Bfa1highL_Nucleus) 
Bfa1lowA_Nucleus, (Bfa1lowL_Nucleus & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) | (Bfa1lowL_Nucleus & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) 
Tem1lowA_Nucleus, (! Bfa1highA_Nucleus & Tem1lowL_Nucleus & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Bub2highA_Nucleus & Tem1lowL_Nucleus & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Amn1A_Nucleus & Tem1lowL_Nucleus & ! Bfa1OE & ! Bub2OE & ! Amn1OE) 
Tem1highA_Nucleus, (! Bfa1lowA_Nucleus & Tem1lowA_Nucleus & Tem1highL_Nucleus) | (! Bub2lowA_Nucleus & Tem1lowA_Nucleus & Tem1highL_Nucleus) | (! Amn1A_Nucleus & Tem1lowA_Nucleus & Tem1highL_Nucleus) | (Tem1OE & Tem1highL_Nucleus) 
Cdc15lowA_Nucleus, Cdc15lowL_Nucleus 
Cdc15highA_Nucleus, (Cdc15lowA_Nucleus & Cdc15highL_Nucleus) | (Cdc15OE & Cdc15highL_Nucleus) 
Bub2lowA_Nucleus, Bub2lowL_Nucleus 
Bub2highA_Nucleus, (Bub2lowA_Nucleus & Bub2highL_Nucleus) | (Bub2OE & Bub2highL_Nucleus) 
Rsa1A_Nucleus, Rsa1L_Nucleus 
Hit1A_Nucleus, Hit1L_Nucleus 
APCCdc20A_Nucleus, APCCdc20L_Nucleus 
Pds1A_Nucleus, (! APCCdc20A_Nucleus & Pds1L_Nucleus) 
Esp1A_Nucleus, (! Pds1A_Nucleus & Esp1L_Nucleus) 
Slk19A_Nucleus, (Esp1A_Nucleus & Slk19L_Nucleus) | (Esp1OE & Slk19L_Nucleus) 
Zds1A_Nucleus, (Esp1A_Nucleus & Slk19A_Nucleus & Zds1L_Nucleus) | (Esp1OE & Zds1L_Nucleus) | (Slk19OE & Zds1L_Nucleus) 
Cdc5A_Nucleus, (CDKlowA_Nucleus & Cdc5L_Nucleus) | (CDKOE & Cdc5L_Nucleus) 
PP2ACdc55A_Nucleus, PP2ACdc55L_Nucleus 
CDKlowA_Nucleus, CDKlowL_Nucleus 
CDKhighA_Nucleus, CDKhighL_Nucleus 
Fob1A_Nucleus, (! Spo12A_Nucleus & Fob1L_Nucleus) 
Spo12A_Nucleus, Spo12L_Nucleus 
SACA_Nucleus, SACA_Nucleus | (SACOE & SACL_Nucleus) 
Cdc14lowA_Nucleus, Cdc14lowL_Nucleus 
Cdc14highA_Nucleus, Cdc14highL_Nucleus 
Net1A_Nucleus, Net1L_Nucleus 
Spo12A_Nucleolus, (CDKlowA_Nucleus & Spo12L_Nucleolus) | (CDKOE & Spo12L_Nucleolus) 
Fob1A_Nucleolus, (! Spo12A_Nucleolus & Fob1L_Nucleolus) 
Hit1A_Nucleolus, Hit1L_Nucleolus 
Rsa1A_Nucleolus, Rsa1L_Nucleolus 
Net1A_Nucleolus, (PP2ACdc55OE & Net1L_Nucleolus) | (Fob1OE & Net1L_Nucleolus) | (! Hit1A_Nucleolus & ! Mob1A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (! Hit1A_Nucleolus & ! Dbf2A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (! Rsa1A_Nucleolus & ! Mob1A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (! Rsa1A_Nucleolus & ! Dbf2A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (! CDKlowA_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (! Cdc5A_Nucleus & ! CDKhighA_Nucleus & ! Mob1A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (PP2ACdc55A_Nucleus & ! Mob1A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (Fob1A_Nucleolus & ! Mob1A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (! Cdc5A_Nucleus & ! CDKhighA_Nucleus & ! Dbf2A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (PP2ACdc55A_Nucleus & ! Dbf2A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) | (Fob1A_Nucleolus & ! Dbf2A_Nucleus & ! Hit1OE & ! Mob1OE & ! Dbf2OE & ! Rsa1OE & ! CDKOE & ! Cdc5OE) 
Cdc14lowA_Nucleolus, Cdc14lowL_Nucleolus 
Cdc14highA_Nucleolus, Cdc14highL_Nucleolus 
Kin4A_mSPB, (! Lte1A_Cytoplasm & Elm1A_Cytoplasm & Kin4L_mSPB) | (Elm1OE & Kin4L_mSPB) 
Cdc5A_mSPB, (CDKOE & Cdc5L_mSPB) | (CDKlowA_mSPB & Cdc5L_mSPB) | (CDKlowA_Cytoplasm & Cdc5L_mSPB) 
Nud1A_mSPB, Cdc15lowA_mSPB | (Cdc15OE & Nud1L_mSPB) 
Spc72A_mSPB, Spc72L_mSPB 
CDKlowA_mSPB, CDKlowL_mSPB 
Cdc14lowA_mSPB, Cdc14lowL_mSPB 
Bub2highA_mSPB, (Bub2lowA_mSPB & Bub2highL_mSPB) | (Bub2OE & Bub2highL_mSPB) 
Bfa1highA_mSPB, (! Lte1A_Cytoplasm & ! Cdc5A_mSPB & Bfa1lowA_mSPB & Bfa1highL_mSPB) | (! Lte1A_Cytoplasm & ! Cdc14lowA_mSPB & CDKlowA_mSPB & Bfa1lowA_mSPB & Bfa1highL_mSPB) | (! Cdc5A_mSPB & ! Lte1A_Cytoplasm & Bfa1lowA_mSPB) | (! Cdc14lowA_mSPB & CDKlowA_Cytoplasm & Bfa1lowA_mSPB & ! Lte1A_Cytoplasm) | (Bfa1OE & Bfa1highL_mSPB) | (CDKOE & Bfa1highL_mSPB) 
Tem1lowA_mSPB, (! Bfa1highA_mSPB & Tem1lowL_mSPB & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Bub2highA_mSPB & Tem1lowL_mSPB & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Amn1A_Cytoplasm & Tem1lowL_mSPB & ! Bfa1OE & ! Bub2OE & ! Amn1OE) 
Bub2lowA_mSPB, Bub2lowL_mSPB 
Bfa1lowA_mSPB, (Bfa1lowL_mSPB & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) | (Bfa1lowL_mSPB & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) 
Tem1highA_mSPB, (! Bfa1lowA_mSPB & Tem1lowA_mSPB & Tem1highL_mSPB) | (! Bub2lowA_mSPB & Tem1lowA_mSPB & Tem1highL_mSPB) | (! Amn1A_Cytoplasm & Tem1lowA_mSPB & Tem1highL_mSPB) | (Tem1OE & Tem1highL_mSPB) 
Dbf2A_mSPB, (Cdc15highL_mSPB & Mob1A_mSPB & Dbf2L_mSPB) | (Cdc15OE & Dbf2L_mSPB) | (Mob1OE & Dbf2L_mSPB) 
Mob1A_mSPB, Mob1L_mSPB 
Cdc15lowA_mSPB, Cdc15lowL_mSPB 
Cdc15highA_mSPB, (Cdc15lowA_mSPB & Cdc15highL_mSPB) | (Cdc15OE & Cdc15highL_mSPB) 
Kin4A_dSPB, (Elm1OE & Kin4L_dSPB) | (! Lte1A_Bud & SpindleAlign & Elm1A_Bud & SpindleAlign & Kin4L_dSPB & ! Lte1OE) | (! Lte1A_Cytoplasm & Elm1A_Cytoplasm & Kin4L_dSPB & ! SpindleAlign & ! Lte1OE) 
Cdc5A_dSPB, (CDKOE & Cdc5L_dSPB) | (CDKlowA_dSPB & Cdc5L_dSPB) | (CDKlowA_Bud & SpindleAlign & Cdc5L_dSPB) | (CDKlowA_Cytoplasm & Cdc5L_dSPB & ! SpindleAlign) 
Nud1A_dSPB, Cdc15lowA_dSPB | (Cdc15OE & Nud1L_dSPB) 
Spc72A_dSPB, Spc72L_dSPB 
CDKlowA_dSPB, CDKlowL_dSPB 
Cdc14lowA_dSPB, Cdc14lowL_dSPB 
Bub2highA_dSPB, (Bub2lowA_dSPB & Bub2highL_dSPB) | (Bub2OE & Bub2highL_dSPB) 
Bfa1highA_dSPB, (! Lte1A_Bud & SpindleAlign & ! Cdc5A_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB) | (! Lte1A_Bud & SpindleAlign & ! Cdc14lowA_dSPB & CDKlowA_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB) | (! Lte1A_Cytoplasm & ! Cdc5A_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB & ! SpindleAlign) | (! Lte1A_Cytoplasm & ! Cdc14lowA_dSPB & CDKlowA_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB & ! SpindleAlign) | (! Cdc5A_dSPB & ! Lte1A_Bud & SpindleAlign & Bfa1lowA_dSPB) | (! Cdc14lowA_dSPB & CDKlowA_Bud & SpindleAlign & Bfa1lowA_dSPB & ! Lte1A_Bud & SpindleAlign) | (! Cdc5A_dSPB & ! Lte1A_Cytoplasm & Bfa1lowA_dSPB & ! SpindleAlign) | (! Cdc14lowA_dSPB & CDKlowA_Cytoplasm & Bfa1lowA_dSPB & ! Lte1A_Cytoplasm & ! SpindleAlign) | (Bfa1OE & Bfa1highL_dSPB) | (CDKOE & Bfa1highL_dSPB) 
Tem1lowA_dSPB, (! Bfa1highA_dSPB & Tem1lowL_dSPB & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Bub2highA_dSPB & Tem1lowL_dSPB & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Amn1A_Bud & SpindleAlign & Tem1lowL_dSPB & ! Bfa1OE & ! Bub2OE & ! Amn1OE) | (! Amn1A_Cytoplasm & Tem1lowL_dSPB & ! SpindleAlign & ! Bfa1OE & ! Bub2OE & ! Amn1OE) 
Bub2lowA_dSPB, Bub2lowL_dSPB 
Bfa1lowA_dSPB, (Bfa1lowL_dSPB & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) | (Bfa1lowL_dSPB & ! Lte1OE & ! Cdc5OE & ! Cdc14OE) 
Tem1highA_dSPB, (! Bfa1lowA_dSPB & Tem1lowA_dSPB & Tem1highL_dSPB) | (! Bub2lowA_dSPB & Tem1lowA_dSPB & Tem1highL_dSPB) | (! Amn1A_Bud & SpindleAlign & Tem1lowA_dSPB & Tem1highL_dSPB) | (! Amn1A_Cytoplasm & Tem1lowA_dSPB & Tem1highL_dSPB & ! SpindleAlign) | (Tem1OE & Tem1highL_dSPB) 
Dbf2A_dSPB, (Cdc15highL_dSPB & Mob1A_dSPB & Dbf2L_dSPB) | (Cdc15OE & Dbf2L_dSPB) | (Mob1OE & Dbf2L_dSPB) 
Mob1A_dSPB, Mob1L_dSPB 
Cdc15lowA_dSPB, Cdc15lowL_dSPB 
Cdc15highA_dSPB, (Cdc15lowA_dSPB & Cdc15highL_dSPB) | (Cdc15OE & Cdc15highL_dSPB) 
SpindleAlign, SpindleAlign
ME, Cdc14highA_Cytoplasm 
