targets, factors
Dbf2A_Nucleus, (Dbf2A_Cytoplasm & Dbf2L_Nucleus) | (Dbf2A_Bud & Dbf2L_Nucleus) 
Kin4A_Nucleus, (! Lte1A_Nucleus & Elm1A_Nucleus & Kin4L_Nucleus) 
Cla4A_Nucleus, Cla4L_Nucleus 
Nud1A_Nucleus, Nud1L_Nucleus 
Spc72A_Nucleus, Spc72L_Nucleus 
PP2ARts1A_Nucleus, PP2ARts1L_Nucleus 
Amn1A_Nucleus, Amn1L_Nucleus 
Bmh1A_Nucleus, Bmh1L_Nucleus 
PolarityA_Nucleus, PolarityL_Nucleus 
Bfa1highA_Nucleus, (! Lte1A_Nucleus & ! Cdc5A_Nucleus & Bfa1lowA_Nucleus & Bfa1highL_Nucleus) | (! Lte1A_Nucleus & ! Cdc14lowA_Nucleus & CDKlowA_Nucleus & Bfa1lowA_Nucleus & Bfa1highL_Nucleus) 
Bfa1lowA_Nucleus, Bfa1lowL_Nucleus 
Tem1lowA_Nucleus, (! Bfa1highA_Nucleus & Tem1lowL_Nucleus) | (! Bub2highA_Nucleus & Tem1lowL_Nucleus) | (! Amn1A_Nucleus & Tem1lowL_Nucleus) 
Tem1highA_Nucleus, (! Bfa1lowA_Nucleus & Tem1lowA_Nucleus & Tem1highL_Nucleus) | (! Bub2lowA_Nucleus & Tem1lowA_Nucleus & Tem1highL_Nucleus) | (! Amn1A_Nucleus & Tem1lowA_Nucleus & Tem1highL_Nucleus) 
Cdc15lowA_Nucleus, Cdc15lowL_Nucleus 
Cdc15highA_Nucleus, (Cdc15lowA_Nucleus & Cdc15highL_Nucleus) 
Bub2lowA_Nucleus, Bub2lowL_Nucleus 
Bub2highA_Nucleus, (Bub2lowA_Nucleus & Bub2highL_Nucleus) 
Rsa1A_Nucleus, Rsa1L_Nucleus 
Hit1A_Nucleus, Hit1L_Nucleus 
APCCdc20A_Nucleus, APCCdc20L_Nucleus 
Pds1A_Nucleus, (! APCCdc20A_Nucleus & Pds1L_Nucleus) 
Esp1A_Nucleus, (! Pds1A_Nucleus & Esp1L_Nucleus) 
Slk19A_Nucleus, (Esp1A_Nucleus & Slk19L_Nucleus) 
Zds1A_Nucleus, (Esp1A_Nucleus & Slk19A_Nucleus & Zds1L_Nucleus) 
Cdc5A_Nucleus, (CDKlowA_Nucleus & Cdc5L_Nucleus) 
PP2ACdc55A_Nucleus, PP2ACdc55L_Nucleus 
CDKlowA_Nucleus, CDKlowL_Nucleus 
CDKhighA_Nucleus, CDKhighL_Nucleus 
Fob1A_Nucleus, (! Spo12A_Nucleus & Fob1L_Nucleus) 
Spo12A_Nucleus, Spo12L_Nucleus 
SACA_Nucleus, SACA_Nucleus 
Cdc14lowA_Nucleus, Cdc14lowL_Nucleus 
Cdc14highA_Nucleus, Cdc14highL_Nucleus 
Net1A_Nucleus, Net1L_Nucleus 
Spo12A_Nucleolus, (CDKlowA_Nucleus & Spo12L_Nucleolus) 
Fob1A_Nucleolus, (! Spo12A_Nucleolus & Fob1L_Nucleolus) 
Hit1A_Nucleolus, Hit1L_Nucleolus 
Rsa1A_Nucleolus, Rsa1L_Nucleolus 
Net1A_Nucleolus, (! Hit1A_Nucleolus & ! Mob1A_Nucleus) | (! Hit1A_Nucleolus & ! Dbf2A_Nucleus) | (! Rsa1A_Nucleolus & ! Mob1A_Nucleus) | (! Rsa1A_Nucleolus & ! Dbf2A_Nucleus) | ! CDKlowA_Nucleus | (! Cdc5A_Nucleus & ! CDKhighA_Nucleus & ! Mob1A_Nucleus) | (PP2ACdc55A_Nucleus & ! Mob1A_Nucleus) | (Fob1A_Nucleolus & ! Mob1A_Nucleus) | (! Cdc5A_Nucleus & ! CDKhighA_Nucleus & ! Dbf2A_Nucleus) | (PP2ACdc55A_Nucleus & ! Dbf2A_Nucleus) | (Fob1A_Nucleolus & ! Dbf2A_Nucleus) 
Cdc14lowA_Nucleolus, Cdc14lowL_Nucleolus 
Cdc14highA_Nucleolus, Cdc14highL_Nucleolus 
Kin4A_mSPB, (! Lte1A_Cytoplasm & Elm1A_Cytoplasm & Kin4L_mSPB) 
Cdc5A_mSPB, (CDKlowA_mSPB & Cdc5L_mSPB) | (CDKlowA_Cytoplasm & Cdc5L_mSPB) 
Nud1A_mSPB, Cdc15lowA_mSPB 
Spc72A_mSPB, Spc72L_mSPB 
CDKlowA_mSPB, CDKlowL_mSPB 
Cdc14lowA_mSPB, Cdc14lowL_mSPB 
Bub2highA_mSPB, (Bub2lowA_mSPB & Bub2highL_mSPB) 
Bfa1highA_mSPB, (! Lte1A_Cytoplasm & ! Cdc5A_mSPB & Bfa1lowA_mSPB & Bfa1highL_mSPB) | (! Lte1A_Cytoplasm & ! Cdc14lowA_mSPB & CDKlowA_mSPB & Bfa1lowA_mSPB & Bfa1highL_mSPB) | (! Cdc5A_mSPB & ! Lte1A_Cytoplasm & Bfa1lowA_mSPB) | (! Cdc14lowA_mSPB & CDKlowA_Cytoplasm & Bfa1lowA_mSPB & ! Lte1A_Cytoplasm) 
Tem1lowA_mSPB, (! Bfa1highA_mSPB & Tem1lowL_mSPB) | (! Bub2highA_mSPB & Tem1lowL_mSPB) | (! Amn1A_Cytoplasm & Tem1lowL_mSPB) 
Bub2lowA_mSPB, Bub2lowL_mSPB 
Bfa1lowA_mSPB, Bfa1lowL_mSPB 
Tem1highA_mSPB, (! Bfa1lowA_mSPB & Tem1lowA_mSPB & Tem1highL_mSPB) | (! Bub2lowA_mSPB & Tem1lowA_mSPB & Tem1highL_mSPB) | (! Amn1A_Cytoplasm & Tem1lowA_mSPB & Tem1highL_mSPB) 
Dbf2A_mSPB, (Cdc15highL_mSPB & Mob1A_mSPB & Dbf2L_mSPB) 
Mob1A_mSPB, Mob1L_mSPB 
Cdc15lowA_mSPB, Cdc15lowL_mSPB 
Cdc15highA_mSPB, (Cdc15lowA_mSPB & Cdc15highL_mSPB) 
Kin4A_dSPB, (! Lte1A_Bud & SpindleAlign & Elm1A_Bud & SpindleAlign & Kin4L_dSPB) | (! Lte1A_Cytoplasm & Elm1A_Cytoplasm & Kin4L_dSPB & ! SpindleAlign) 
Cdc5A_dSPB, (CDKlowA_dSPB & Cdc5L_dSPB) | (CDKlowA_Bud & SpindleAlign & Cdc5L_dSPB) | (CDKlowA_Cytoplasm & Cdc5L_dSPB & ! SpindleAlign) 
Nud1A_dSPB, Cdc15lowA_dSPB 
Spc72A_dSPB, Spc72L_dSPB 
CDKlowA_dSPB, CDKlowL_dSPB 
Cdc14lowA_dSPB, Cdc14lowL_dSPB 
Bub2highA_dSPB, (Bub2lowA_dSPB & Bub2highL_dSPB) 
Bfa1highA_dSPB, (! Lte1A_Bud & SpindleAlign & ! Cdc5A_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB) | (! Lte1A_Bud & SpindleAlign & ! Cdc14lowA_dSPB & CDKlowA_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB) | (! Lte1A_Cytoplasm & ! Cdc5A_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB & ! SpindleAlign) | (! Lte1A_Cytoplasm & ! Cdc14lowA_dSPB & CDKlowA_dSPB & Bfa1lowA_dSPB & Bfa1highL_dSPB & ! SpindleAlign) | (! Cdc5A_dSPB & ! Lte1A_Bud & SpindleAlign & Bfa1lowA_dSPB) | (! Cdc14lowA_dSPB & CDKlowA_Bud & SpindleAlign & Bfa1lowA_dSPB & ! Lte1A_Bud & SpindleAlign) | (! Cdc5A_dSPB & ! Lte1A_Cytoplasm & Bfa1lowA_dSPB & ! SpindleAlign) | (! Cdc14lowA_dSPB & CDKlowA_Cytoplasm & Bfa1lowA_dSPB & ! Lte1A_Cytoplasm & ! SpindleAlign) 
Tem1lowA_dSPB, (! Bfa1highA_dSPB & Tem1lowL_dSPB) | (! Bub2highA_dSPB & Tem1lowL_dSPB) | (! Amn1A_Bud & SpindleAlign & Tem1lowL_dSPB) | (! Amn1A_Cytoplasm & Tem1lowL_dSPB & ! SpindleAlign) 
Bub2lowA_dSPB, Bub2lowL_dSPB 
Bfa1lowA_dSPB, Bfa1lowL_dSPB 
Tem1highA_dSPB, (! Bfa1lowA_dSPB & Tem1lowA_dSPB & Tem1highL_dSPB) | (! Bub2lowA_dSPB & Tem1lowA_dSPB & Tem1highL_dSPB) | (! Amn1A_Bud & SpindleAlign & Tem1lowA_dSPB & Tem1highL_dSPB) | (! Amn1A_Cytoplasm & Tem1lowA_dSPB & Tem1highL_dSPB & ! SpindleAlign) 
Dbf2A_dSPB, (Cdc15highL_dSPB & Mob1A_dSPB & Dbf2L_dSPB) 
Mob1A_dSPB, Mob1L_dSPB 
Cdc15lowA_dSPB, Cdc15lowL_dSPB 
Cdc15highA_dSPB, (Cdc15lowA_dSPB & Cdc15highL_dSPB) 
SpindleAlign, SpindleAlign
ME, Cdc14highA_Cytoplasm 
